Muscle,Exercise,Weight,Reps
Chest,DB Flat,75,10
Chest,DB Flat,75,7
Chest,DB Incline,70,6
Chest,DB Incline,70,7
Chest,DB Incline,70,6
Triceps,Rope Down,50,26
Triceps,Rope Down,50,19
Triceps,Rope Down,50,16
Triceps,DB Skull,60,9
Triceps,DB Skull,60,7
Triceps,DB Skull,60,8
Triceps,1 Machine,50,7
Triceps,1 Machine,40,11
Triceps,1 Machine,50,9
Chest,Dips,150,18
Chest,Dips,150,20
Chest,Supes,30,8
Chest,Supes,30,8
Triceps,No Grip,20,17
Triceps,No Grip,25,9
Chest,Cable Incline,35,6
Legs,Squat Regular,90,13
Legs,Squat Wide,115,13
Biceps,Bench Bar,20,8
Biceps,Bench Bar,20,8
Chest,Bench Incline,70,6
Chest,Bench Incline,70,5
Chest,DB Flat,75,7
Chest,DB Flat,75,6
Chest,Devon,35,5
Chest,Devon,35,5
Triceps,Cable Slow,50,8
Triceps,Cable Slow,42.5,8
Triceps,Cable Slow,42.5,7
Chest,Supes,35,8
Chest,Supes,35,6
Chest,Cable Incline,35,7
Chest,Cable Incline,35,6
Chest,Cable Incline,35,6
Triceps,DB Skull,65,9
Triceps,DB Skull,65,8
Triceps,DB Skull,65,9
Triceps,Barbell Skull,90,6
Triceps,Barbell Skull,90,4
Triceps,Barbell Skull,90,3
Triceps,1 Machine,50,10
Bicep,Spiders,35,9
Bicep,Spiders,35,10
Bicep,Spiders,35,10
Bicep,Hammer Concentration,40,9
Triceps,Straight Bar,57,18
Triceps,Straight Bar,57,15
Triceps,Straight Bar,57,14
Triceps,Rope 1 Up,25,7
Triceps,Rope 1 Up,20,12
Triceps,Rope 1 Up,20,12
Triceps,DB 1 Up,30,7
Legs,Bulgarian,75,11
Legs,Bulgarian,75,9
Legs,Bulgarian,75,8
Shoulders,EZ Overhead,80,13
Shoulders,EZ Overhead,80,11
Shoulders,EZ Overhead,80,9
Legs,Front Machine,177.5,14
Legs,Front Machine,200,14
Legs,Front Machine,245,8
Legs,Press Right,165,9
Legs,Press Right,200,6
Shoulders,Side Swipe,20,14
Shoulders,Side Swipe,20,13
Shoulders,Side Swipe,25,9
Legs,Machine Press,200,6
Legs,Machine Press,180,8
Legs,Machine Press,180,6
Shoulders,Smith,10,6
Shoulders,Smith,5,7
Biceps,Concentration,40,9
Biceps,Concentration,40,8
Back,Cable Lat 1,72.5,9
Back,Cable Lat 1,72.5,7
Back,Smith Reverse,55,14
Back,Smith Reverse,65,9
Back,Smith Reverse,65,5
Biceps,EZ,90,8
Biceps,EZ,90,8
Biceps,EZ,90,5
Biceps,Cable Incline 1,35,8
Biceps,Cable Incline 1,35,6
Biceps,Cable Incline 1,30,7
Biceps,Hammer Switch,40,9
Biceps,Hammer Switch,40,7
Back,Cable Lat,65,8
Back,Cable Lat,72.5,6
Back,Cable Lat,65,8
Chest,Bench,90,3
Chest,Bench,90,2
Chest,Supes,35,10
Chest,Supes,35,8
Chest,Supes,35,7
Triceps,Reverse Cable 1,30,8
Triceps,Reverse Cable 1,30,7
Triceps,Reverse Cable 1,30,6
Triceps,DB 1 Up,30,10
Triceps,DB 1 Up,30,10
Chest,Fly Machine,175,9
Chest,Fly Machine,175,9
Chest,Dips,150,21
Chest,Dips,150,14
Shoulders,DB Press,55,7
Shoulders,DB Press,55,5
Shoulders,Cable Side Swipe,10,10
Shoulders,Cable Side Swipe,10,10
